"","user","weekday","hour","domain","average"
"254","jakub",2,8,"google.com",0.0692771084337349
"255","jakub",2,8,"facebook.com",0
"256","jakub",2,8,"instagram.com",0
"257","jakub",2,9,"stackoverflow.com",0
"258","jakub",2,9,"wikipedia.org",0.00903614457831325
"259","jakub",2,9,"github.com",0
"260","jakub",2,9,"pw.edu.pl",0
"261","jakub",2,9,"youtube.com",0.0301204819277108
"262","jakub",2,9,"google.com",0.162650602409639
"263","jakub",2,9,"facebook.com",0.0180722891566265
"264","jakub",2,9,"instagram.com",0
"265","jakub",2,10,"stackoverflow.com",0
"266","jakub",2,10,"wikipedia.org",0.00602409638554217
"267","jakub",2,10,"github.com",0
"268","jakub",2,10,"pw.edu.pl",0.0331325301204819
"269","jakub",2,10,"youtube.com",0.0692771084337349
"270","jakub",2,10,"google.com",0.551204819277108
"271","jakub",2,10,"facebook.com",0.0512048192771084
"272","jakub",2,10,"instagram.com",0
"273","jakub",2,11,"stackoverflow.com",0
"274","jakub",2,11,"wikipedia.org",0.0120481927710843
"275","jakub",2,11,"github.com",0
"276","jakub",2,11,"pw.edu.pl",0.0391566265060241
"277","jakub",2,11,"youtube.com",0.0843373493975904
"278","jakub",2,11,"google.com",0.373493975903614
"279","jakub",2,11,"facebook.com",0.0271084337349398
"280","jakub",2,11,"instagram.com",0
"281","jakub",2,12,"stackoverflow.com",0
"282","jakub",2,12,"wikipedia.org",0.00602409638554217
"283","jakub",2,12,"github.com",0
"284","jakub",2,12,"pw.edu.pl",0.186746987951807
"285","jakub",2,12,"youtube.com",0.072289156626506
"286","jakub",2,12,"google.com",0.533132530120482
"287","jakub",2,12,"facebook.com",0.00602409638554217
"288","jakub",2,12,"instagram.com",0
"289","jakub",2,13,"stackoverflow.com",0
"290","jakub",2,13,"wikipedia.org",0.00301204819277108
"291","jakub",2,13,"github.com",0
"292","jakub",2,13,"pw.edu.pl",0.0662650602409639
"293","jakub",2,13,"youtube.com",0.0451807228915663
"294","jakub",2,13,"google.com",0.391566265060241
"295","jakub",2,13,"facebook.com",0.0481927710843374
"296","jakub",2,13,"instagram.com",0
"297","jakub",2,14,"stackoverflow.com",0
"298","jakub",2,14,"wikipedia.org",0.0150602409638554
"299","jakub",2,14,"github.com",0
"300","jakub",2,14,"pw.edu.pl",0.186746987951807
"301","jakub",2,14,"youtube.com",0.13855421686747
"302","jakub",2,14,"google.com",0.587349397590361
"303","jakub",2,14,"facebook.com",0.189759036144578
"304","jakub",2,14,"instagram.com",0
"305","jakub",2,15,"stackoverflow.com",0
"306","jakub",2,15,"wikipedia.org",0.00301204819277108
"307","jakub",2,15,"github.com",0
"308","jakub",2,15,"pw.edu.pl",0.0873493975903614
"309","jakub",2,15,"youtube.com",0.105421686746988
"310","jakub",2,15,"google.com",0.44578313253012
"311","jakub",2,15,"facebook.com",0.072289156626506
"312","jakub",2,15,"instagram.com",0
"313","jakub",2,16,"stackoverflow.com",0
"314","jakub",2,16,"wikipedia.org",0.00301204819277108
"315","jakub",2,16,"github.com",0
"316","jakub",2,16,"pw.edu.pl",0.00602409638554217
"317","jakub",2,16,"youtube.com",0.126506024096386
"318","jakub",2,16,"google.com",0.512048192771084
"319","jakub",2,16,"facebook.com",0.0481927710843374
"320","jakub",2,16,"instagram.com",0
"321","jakub",2,17,"stackoverflow.com",0
"322","jakub",2,17,"wikipedia.org",0
"323","jakub",2,17,"github.com",0
