"","time_usec","domain"
"219",2021-01-08 17:18:14,"pw.edu.pl"
"220",2021-01-08 17:18:09,"pw.edu.pl"
"221",2021-01-08 17:18:03,"pw.edu.pl"
"222",2021-01-08 17:17:56,"pw.edu.pl"
"223",2021-01-08 17:17:55,"pw.edu.pl"
"224",2021-01-08 17:09:24,"google.com"
"225",2021-01-08 16:59:37,"google.com"
"226",2021-01-08 16:56:52,"google.com"
"227",2021-01-08 16:52:36,"google.com"
"228",2021-01-08 16:51:43,"google.com"
"229",2021-01-08 16:44:16,"facebook.com"
"230",2021-01-08 16:44:16,"facebook.com"
"231",2021-01-08 16:44:14,"facebook.com"
"232",2021-01-08 16:37:01,"google.com"
"233",2021-01-08 16:24:40,"github.com"
"234",2021-01-08 16:24:39,"github.com"
"235",2021-01-08 16:24:39,"github.com"
"236",2021-01-08 16:24:35,"github.com"
"237",2021-01-08 16:21:56,"github.com"
"238",2021-01-08 16:21:55,"github.com"
"239",2021-01-08 16:21:12,"github.com"
"240",2021-01-08 16:21:09,"github.com"
"241",2021-01-08 16:21:09,"github.com"
"242",2021-01-08 16:21:05,"github.com"
"243",2021-01-08 16:21:05,"github.com"
"244",2021-01-08 16:20:50,"github.com"
"245",2021-01-08 16:20:47,"github.com"
"246",2021-01-08 16:20:41,"github.com"
"247",2021-01-08 16:20:35,"github.com"
"248",2021-01-08 16:20:14,"github.com"
"249",2021-01-08 16:20:13,"github.com"
"250",2021-01-08 16:19:59,"github.com"
"251",2021-01-08 16:19:52,"github.com"
"252",2021-01-08 16:15:34,"google.com"
"253",2021-01-08 16:15:34,"google.com"
"254",2021-01-08 16:15:06,"google.com"
"255",2021-01-08 16:14:46,"google.com"
"256",2021-01-08 16:14:22,"google.com"
"257",2021-01-08 16:14:16,"google.com"
"258",2021-01-08 16:05:32,"youtube.com"
"259",2021-01-08 16:05:26,"youtube.com"
"260",2021-01-08 16:05:05,"youtube.com"
"261",2021-01-08 16:05:00,"google.com"
"262",2021-01-08 16:03:57,"google.com"
"263",2021-01-08 16:03:17,"facebook.com"
"264",2021-01-08 16:02:49,"pw.edu.pl"
"265",2021-01-08 16:02:48,"pw.edu.pl"
"266",2021-01-08 16:02:34,"pw.edu.pl"
"267",2021-01-08 16:02:26,"pw.edu.pl"
"268",2021-01-08 16:02:24,"pw.edu.pl"
"269",2021-01-08 12:27:22,"pw.edu.pl"
"270",2021-01-08 12:25:29,"pw.edu.pl"
"271",2021-01-08 12:25:27,"pw.edu.pl"
"272",2021-01-08 12:24:30,"pw.edu.pl"
"273",2021-01-08 12:24:08,"pw.edu.pl"
"274",2021-01-08 12:23:51,"pw.edu.pl"
"275",2021-01-08 12:23:36,"pw.edu.pl"
"276",2021-01-08 12:23:28,"pw.edu.pl"
"277",2021-01-08 12:23:20,"pw.edu.pl"
"278",2021-01-08 12:23:19,"pw.edu.pl"
"279",2021-01-08 12:23:11,"pw.edu.pl"
"280",2021-01-08 12:22:56,"pw.edu.pl"
"281",2021-01-08 12:22:53,"pw.edu.pl"
"282",2021-01-08 12:21:20,"pw.edu.pl"
"283",2021-01-08 12:21:14,"pw.edu.pl"
"284",2021-01-08 12:20:32,"pw.edu.pl"
"285",2021-01-08 12:20:24,"pw.edu.pl"
"286",2021-01-08 12:20:12,"pw.edu.pl"
"287",2021-01-08 12:20:00,"pw.edu.pl"
"288",2021-01-08 12:19:55,"pw.edu.pl"
"289",2021-01-08 12:19:53,"pw.edu.pl"
"290",2021-01-08 11:59:09,"github.com"
"291",2021-01-08 11:59:07,"github.com"
"292",2021-01-08 11:59:03,"github.com"
"293",2021-01-08 11:58:59,"github.com"
"294",2021-01-08 11:58:54,"pw.edu.pl"
"295",2021-01-08 11:58:53,"pw.edu.pl"
"296",2021-01-08 11:58:40,"pw.edu.pl"
"297",2021-01-08 11:58:34,"pw.edu.pl"
"298",2021-01-08 11:58:32,"pw.edu.pl"
"299",2021-01-08 11:57:29,"google.com"
"300",2021-01-07 21:23:12,"github.com"
"301",2021-01-07 21:23:11,"github.com"
"302",2021-01-07 21:22:24,"github.com"
"303",2021-01-07 21:22:16,"github.com"
"304",2021-01-07 21:22:15,"github.com"
"305",2021-01-07 21:22:13,"github.com"
"306",2021-01-07 21:22:07,"github.com"
"307",2021-01-07 21:21:09,"github.com"
"308",2021-01-07 21:20:50,"github.com"
"309",2021-01-07 21:19:43,"facebook.com"
"310",2021-01-07 21:19:16,"google.com"
"311",2021-01-07 21:16:04,"facebook.com"
"312",2021-01-07 21:15:32,"facebook.com"
"313",2021-01-07 21:15:32,"facebook.com"
"314",2021-01-07 21:15:29,"facebook.com"
"315",2021-01-07 21:15:26,"github.com"
"316",2021-01-07 21:15:11,"google.com"
"317",2021-01-07 21:14:39,"pw.edu.pl"
"318",2021-01-07 21:14:27,"pw.edu.pl"
"319",2021-01-07 21:14:21,"pw.edu.pl"
"320",2021-01-07 21:14:19,"pw.edu.pl"
"321",2021-01-07 21:13:35,"pw.edu.pl"
"322",2021-01-07 21:13:28,"pw.edu.pl"
"323",2021-01-07 21:13:22,"pw.edu.pl"
"324",2021-01-07 21:13:10,"pw.edu.pl"
"325",2021-01-07 21:13:05,"pw.edu.pl"
"326",2021-01-07 21:13:01,"pw.edu.pl"
"327",2021-01-07 21:12:38,"github.com"
"328",2021-01-07 21:12:34,"github.com"
"329",2021-01-07 21:12:30,"github.com"
"330",2021-01-07 21:06:38,"github.com"
"331",2021-01-07 21:06:27,"github.com"
"332",2021-01-07 16:31:32,"youtube.com"
"333",2021-01-07 16:31:31,"youtube.com"
"334",2021-01-07 16:31:26,"google.com"
"335",2021-01-07 16:30:07,"pw.edu.pl"
"336",2021-01-07 16:29:57,"pw.edu.pl"
"337",2021-01-07 16:29:50,"pw.edu.pl"
"338",2021-01-07 16:29:44,"pw.edu.pl"
"339",2021-01-07 16:29:42,"pw.edu.pl"
"340",2021-01-07 16:29:18,"github.com"
"341",2021-01-07 16:27:06,"github.com"
"342",2021-01-07 16:26:50,"github.com"
"343",2021-01-07 16:26:49,"github.com"
"344",2021-01-07 16:26:45,"github.com"
"345",2021-01-07 16:26:45,"github.com"
"346",2021-01-07 16:26:37,"github.com"
"347",2021-01-06 01:28:30,"google.com"
"348",2021-01-06 00:53:26,"github.com"
"349",2021-01-06 00:53:20,"github.com"
"350",2021-01-06 00:53:17,"pw.edu.pl"
"351",2021-01-06 00:53:09,"pw.edu.pl"
"352",2021-01-06 00:52:53,"pw.edu.pl"
"353",2021-01-06 00:52:48,"pw.edu.pl"
"354",2021-01-06 00:52:46,"pw.edu.pl"
"355",2021-01-05 21:44:52,"facebook.com"
"356",2021-01-05 21:43:17,"facebook.com"
"357",2021-01-05 21:43:13,"facebook.com"
"358",2021-01-05 21:41:27,"facebook.com"
"359",2021-01-05 21:41:22,"facebook.com"
"360",2021-01-05 21:41:09,"facebook.com"
"361",2021-01-05 21:40:49,"facebook.com"
"362",2021-01-05 21:39:52,"facebook.com"
"363",2021-01-05 21:39:52,"facebook.com"
"364",2021-01-05 21:39:37,"facebook.com"
"365",2021-01-05 21:38:09,"github.com"
"366",2021-01-05 21:38:07,"github.com"
"367",2021-01-05 21:37:58,"github.com"
"368",2021-01-05 21:37:55,"github.com"
"369",2021-01-05 21:37:43,"facebook.com"
"370",2021-01-05 21:37:43,"facebook.com"
"371",2021-01-05 21:36:21,"facebook.com"
"372",2021-01-05 21:36:19,"facebook.com"
"373",2021-01-05 21:32:38,"github.com"
"374",2021-01-05 21:32:36,"github.com"
"375",2021-01-05 21:32:36,"github.com"
"376",2021-01-05 21:32:29,"github.com"
"377",2021-01-05 21:32:26,"pw.edu.pl"
"378",2021-01-05 21:32:19,"pw.edu.pl"
"379",2021-01-05 21:31:40,"pw.edu.pl"
"380",2021-01-05 21:31:35,"pw.edu.pl"
"381",2021-01-05 21:31:33,"pw.edu.pl"
"382",2021-01-05 21:31:05,"youtube.com"
"383",2021-01-05 21:30:47,"youtube.com"
"384",2021-01-05 21:30:47,"youtube.com"
"385",2021-01-05 21:30:40,"google.com"
"386",2021-01-05 21:30:16,"google.com"
"387",2021-01-05 21:29:56,"google.com"
"388",2021-01-05 21:29:18,"google.com"
"389",2021-01-05 21:23:18,"google.com"
"390",2021-01-05 21:20:58,"google.com"
"391",2021-01-05 21:20:42,"google.com"
"392",2021-01-05 21:18:14,"google.com"
"393",2021-01-05 21:10:01,"github.com"
"394",2021-01-05 19:48:24,"wikipedia.org"
"395",2021-01-05 19:36:49,"google.com"
"396",2021-01-05 19:36:27,"google.com"
"397",2021-01-05 19:36:10,"google.com"
"398",2021-01-05 19:35:32,"google.com"
"399",2021-01-05 19:35:09,"wikipedia.org"
"400",2021-01-05 19:34:53,"wikipedia.org"
"401",2021-01-05 19:34:44,"google.com"
"402",2021-01-05 19:34:44,"google.com"
"403",2021-01-05 19:34:33,"google.com"
"404",2021-01-05 19:34:01,"wikipedia.org"
"405",2021-01-05 19:31:51,"wikipedia.org"
"406",2021-01-05 19:31:46,"google.com"
"407",2021-01-05 19:12:19,"github.com"
"408",2021-01-05 19:04:32,"github.com"
"409",2021-01-05 19:04:29,"github.com"
"410",2021-01-05 19:04:26,"github.com"
"411",2021-01-05 18:59:11,"google.com"
"412",2021-01-05 18:41:47,"github.com"
"413",2021-01-05 18:30:11,"pw.edu.pl"
"414",2021-01-05 18:30:04,"pw.edu.pl"
"415",2021-01-05 18:29:59,"pw.edu.pl"
"416",2021-01-05 18:29:53,"pw.edu.pl"
"417",2021-01-05 18:29:47,"pw.edu.pl"
"418",2021-01-05 18:29:45,"pw.edu.pl"
"419",2021-01-05 18:21:54,"pw.edu.pl"
"420",2021-01-05 18:16:55,"pw.edu.pl"
"421",2021-01-05 18:12:52,"google.com"
"422",2021-01-05 18:09:51,"github.com"
"423",2021-01-05 17:54:02,"google.com"
"424",2021-01-05 17:50:40,"google.com"
"425",2021-01-05 17:23:49,"pw.edu.pl"
"426",2021-01-05 17:22:48,"github.com"
"427",2021-01-05 17:22:48,"google.com"
"428",2021-01-05 17:22:44,"github.com"
"429",2021-01-05 17:22:29,"wikipedia.org"
"430",2021-01-05 16:19:20,"wikipedia.org"
"431",2021-01-05 16:19:17,"google.com"
"432",2021-01-05 16:18:09,"google.com"
"433",2021-01-05 16:16:52,"google.com"
"434",2021-01-05 16:16:15,"wikipedia.org"
"435",2021-01-05 16:16:12,"wikipedia.org"
"436",2021-01-05 16:16:07,"google.com"
"437",2021-01-05 16:15:51,"google.com"
"438",2021-01-05 15:45:15,"pw.edu.pl"
"439",2021-01-05 15:45:08,"pw.edu.pl"
"440",2021-01-05 15:44:16,"github.com"
"441",2021-01-05 15:44:13,"github.com"
"442",2021-01-05 15:44:12,"github.com"
"443",2021-01-05 15:42:21,"github.com"
"444",2021-01-05 15:41:32,"github.com"
"445",2021-01-05 14:49:32,"github.com"
"446",2021-01-05 14:45:25,"github.com"
"447",2021-01-05 14:41:56,"google.com"
"448",2021-01-05 14:40:11,"github.com"
"449",2021-01-05 14:39:14,"github.com"
"450",2021-01-05 14:28:50,"google.com"
"451",2021-01-05 14:28:46,"google.com"
"452",2021-01-05 14:28:38,"google.com"
"453",2021-01-05 14:28:33,"google.com"
"454",2021-01-05 14:28:30,"google.com"
"455",2021-01-05 14:28:22,"google.com"
"456",2021-01-05 14:27:44,"google.com"
"457",2021-01-05 14:06:08,"google.com"
"458",2021-01-05 14:04:31,"github.com"
"459",2021-01-05 13:58:50,"github.com"
"460",2021-01-05 13:58:50,"github.com"
"461",2021-01-05 13:58:45,"github.com"
"462",2021-01-05 13:58:42,"github.com"
"463",2021-01-05 00:37:24,"pw.edu.pl"
"464",2021-01-05 00:37:16,"pw.edu.pl"
"465",2021-01-05 00:37:10,"pw.edu.pl"
"466",2021-01-05 00:37:00,"pw.edu.pl"
"467",2021-01-05 00:36:54,"pw.edu.pl"
"468",2021-01-05 00:36:52,"pw.edu.pl"
"469",2021-01-04 23:14:54,"github.com"
"470",2021-01-04 23:14:54,"github.com"
"471",2021-01-04 23:14:50,"github.com"
"472",2021-01-04 23:14:47,"pw.edu.pl"
"473",2021-01-04 23:14:44,"pw.edu.pl"
"474",2021-01-04 23:14:33,"pw.edu.pl"
"475",2021-01-04 23:14:26,"pw.edu.pl"
"476",2021-01-04 23:14:21,"pw.edu.pl"
"477",2021-01-04 23:14:19,"pw.edu.pl"
"478",2021-01-04 23:13:18,"github.com"
"479",2021-01-04 23:13:15,"github.com"
"480",2021-01-04 23:13:03,"github.com"
"481",2021-01-04 23:12:58,"github.com"
"482",2021-01-04 23:12:49,"github.com"
"483",2021-01-04 23:12:49,"github.com"
"484",2021-01-04 23:09:57,"google.com"
"485",2021-01-04 23:07:10,"github.com"
"486",2021-01-04 23:07:09,"github.com"
"487",2021-01-04 23:07:07,"github.com"
"488",2021-01-04 23:07:00,"github.com"
"489",2021-01-04 23:06:56,"github.com"
"490",2021-01-04 23:06:04,"google.com"
"491",2021-01-04 22:54:18,"facebook.com"
"492",2021-01-04 22:54:16,"facebook.com"
"493",2021-01-04 22:53:53,"google.com"
"494",2021-01-04 22:53:53,"google.com"
"495",2021-01-04 22:53:42,"github.com"
"496",2021-01-04 22:53:27,"github.com"
"497",2021-01-04 22:53:24,"github.com"
"498",2021-01-04 22:53:23,"github.com"
"499",2021-01-04 22:53:18,"github.com"
"500",2021-01-04 22:52:57,"github.com"
"501",2021-01-04 22:52:44,"github.com"
"502",2021-01-04 22:52:43,"github.com"
"503",2021-01-04 22:52:05,"github.com"
"504",2021-01-04 22:51:39,"github.com"
"505",2021-01-04 22:51:38,"github.com"
"506",2021-01-04 22:51:28,"github.com"
"507",2021-01-04 22:51:14,"github.com"
"508",2021-01-04 22:51:11,"github.com"
"509",2021-01-04 22:50:56,"github.com"
"510",2021-01-04 22:50:47,"github.com"
"511",2021-01-04 22:50:34,"github.com"
"512",2021-01-04 22:50:29,"github.com"
"513",2021-01-04 22:50:29,"github.com"
"514",2021-01-04 22:50:18,"github.com"
"515",2021-01-04 22:50:17,"github.com"
"516",2021-01-04 22:49:58,"github.com"
"517",2021-01-04 22:49:53,"github.com"
"518",2021-01-04 22:49:48,"github.com"
"519",2021-01-04 22:49:47,"github.com"
"520",2021-01-04 22:49:34,"github.com"
"521",2021-01-04 22:44:59,"facebook.com"
"522",2021-01-04 22:43:34,"stackoverflow.com"
"523",2021-01-04 22:43:32,"google.com"
"524",2021-01-04 22:39:01,"google.com"
"525",2021-01-04 22:36:49,"google.com"
"526",2021-01-04 22:36:45,"google.com"
"527",2021-01-04 22:36:24,"google.com"
"528",2021-01-04 22:33:48,"stackoverflow.com"
"529",2021-01-04 22:32:53,"stackoverflow.com"
"530",2021-01-04 22:32:52,"google.com"
"531",2021-01-04 22:32:32,"google.com"
"532",2021-01-04 22:31:56,"stackoverflow.com"
"533",2021-01-04 22:31:54,"google.com"
"534",2021-01-04 22:31:39,"github.com"
"535",2021-01-04 22:31:36,"google.com"
"536",2021-01-04 22:28:31,"github.com"
"537",2021-01-04 22:27:39,"github.com"
"538",2021-01-04 22:27:34,"github.com"
"539",2021-01-04 22:26:41,"google.com"
